Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Darrell Arthur,/players/a/arthuda01.html,2009,2018,F,6-9,235,"March 25, 1988",Kansas,Right,6-9,235lb,"Dallas, Texas","October 29, 2008",Power Forward and Small Forward
John Arthurs,/players/a/arthujo01.html,1970,1970,G,6-4,185,"August 15, 1947",Tulane,Right,6-4,185lb,NA,"October 19, 1969",Guard
Jamel Artis,/players/a/artisja01.html,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt,Right,6-7,213lb,"Baltimore, Maryland","December 13, 2017",Shooting Guard
Ömer Aşık,/players/a/asikom01.html,2011,2018,C,7-0,255,"July 4, 1986",,Right,7-0,255lb,"Bursa, Turkey","October 27, 2010",Center
Vincent Askew,/players/a/askewvi01.html,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis,Right,6-6,210lb,"Memphis, Tennessee","November 6, 1987",Shooting Guard
Keith Askins,/players/a/askinke01.html,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama,Right,6-7,197lb,"Athens, Alabama","December 11, 1990",Small Forward
Don Asmonga,/players/a/asmondo01.html,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,Right,6-2,185lb,West Miffl,"December 29, 1953",Guard
Dick Atha,/players/a/athadi01.html,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,Right,6-2,190lb,Otterbe,"November 10, 1955",Shooting Guard
Chucky Atkins,/players/a/atkinch01.html,2000,2010,G,5-11,160,"August 14, 1974",South Florida,Right,5-11,160lb,"Orlando, Florida","November 2, 1999",Point Guard and Shooting Guard
Al Attles,/players/a/attleal01.html,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T,Right,6-0,175lb,"Newark, New Jersey","October 28, 1960",Point Guard
Chet Aubuchon,/players/a/aubucch01.html,1947,1947,G,5-10,137,"May 18, 1916",Michigan State,Right,5-10,137lb,"Gary, Indiana","November 2, 1946",Guard
Stacey Augmon,/players/a/augmost01.html,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV,Left,6-8,205lb,"Pasadena, California","November 2, 1991",Shooting Guard and Small Forward
D.J. Augustin,/players/a/augusdj01.html,2009,2022,G,5-11,183,"November 10, 1987",Texas,Right,5-11,183lb,"New Orleans, Louisiana","October 30, 2008",Point Guard
James Augustine,/players/a/augusja01.html,2007,2008,F,6-10,235,"February 27, 1984",Illinois,Left,6-10,235lb,"Midlothian, Ill","February 2, 2007",Power Forward
Isaac Austin,/players/a/austiis01.html,1992,2002,C,6-10,255,"August 18, 1969",Arizona State,Right,6-10,255lb,"Gridley, California","November 2, 1991",Center
Johnny Austin,/players/a/austijo01.html,1967,1968,G,6-0,170,"August 31, 1944",Boston College,Right,6-0,170lb,Wash,"October 15, 1966",Shooting Guard
Ken Austin,/players/a/austike01.html,1984,1984,F,6-9,205,"July 15, 1961",Rice University,Right,6-9,205lb,"Los Angeles, California","November 3, 1983",Small Forward
Deni Avdija,/players/a/avdijde01.html,2021,2022,G-F,6-9,210,"January 3, 2001",,Right,6-9,210lb,"Beit Zera, Israel","December 23, 2020",Small Forward
Anthony Avent,/players/a/aventan01.html,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall,Right,6-9,235lb,"Rocky Mount, North Carol","November 6, 1992",Power Forward
Bird Averitt,/players/a/averibi01.html,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine,Left,6-1,170lb,Hopk,"October 21, 1976",Shooting Guard
William Avery,/players/a/averywi01.html,2000,2002,G,6-2,197,"August 8, 1979",Duke,Right,6-2,197lb,"Augusta, Georgia","November 13, 1999",Point Guard
Dennis Awtrey,/players/a/awtrede01.html,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara,Right,6-10,235lb,"Hollywood, California","October 14, 1970",Center
Joel Ayayi,/players/a/ayayijo01.html,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga,Right,6-5,180lb,"Bordeaux, France","October 25, 2021",Shooting Guard
Gustavo Ayón,/players/a/ayongu01.html,2012,2014,C,6-10,250,"April 1, 1985",,Right,6-10,250lb,"Tepic, Mexico","January 1, 2012",Center and Power Forward
Jeff Ayres,/players/p/pendeje02.html,2010,2016,F,6-9,240,"April 29, 1987",Arizona State,Right,6-9,240lb,"Ontario, California","December 22, 2009",Power Forward and Center
Deandre Ayton,/players/a/aytonde01.html,2019,2022,C,6-11,250,"July 23, 1998",Arizona,Right,6-11,250lb,"Nassau, Bahamas","October 17, 2018",Center
Kelenna Azubuike,/players/a/azubuke01.html,2007,2012,G,6-5,220,"December 16, 1983",Kentucky,Right,6-5,220lb,"London, United K","January 2, 2007",Shooting Guard and Small Forward
Udoka Azubuike,/players/a/azubuud01.html,2021,2022,C,6-10,280,"September 17, 1999",Kansas,Right,6-10,280lb,"Lagos, Nigeria","December 23, 2020",Center
Danny Ainge,/executives/aingeda01x.html,1982,1995,G,6-4,175,"March 17, 1959",BYU,Right,6-4,175lb,"Eugene, Oregon","December 9, 1981",Shooting Guard and Point Guard
Chris Babb,/players/b/babbch01.html,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State",Right,6-5,225lb,Arl,"March 1, 2014",Shooting Guard
Luke Babbitt,/players/b/babbilu01.html,2011,2018,F,6-9,225,"June 20, 1989",Nevada,Left,6-9,225lb,C,"November 1, 2010",Small Forward and Power Forward
Miloš Babić,/players/b/babicmi01.html,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,Right,7-0,240lb,"Kraljevo, Serbia","November 21, 1990",Center and Power Forward
Johnny Bach,/players/b/bachjo01.html,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham,Right,6-2,180lb,"Brooklyn, New York","November 4, 1948",Forward Guard
Dwayne Bacon,/players/b/bacondw01.html,2018,2021,G,6-6,221,"August 30, 1995",Florida State,Right,6-6,221lb,"Lakeland, Florida","October 18, 2017",Shooting Guard
Henry Bacon,/players/b/baconhe01.html,1973,1973,G,6-3,205,"July 5, 1948",Louisville,Right,6-3,205lb,"Louisville, Kentucky",NA,Shooting Guard
Jim Baechtold,/players/b/baechji01.html,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,Right,6-4,205lb,"McKeesport, Pennsylvania","November 1, 1952",Small Forward
Dalibor Bagarić,/players/b/bagarda01.html,2001,2003,C,7-1,255,"February 7, 1980",,Right,7-1,255lb,"Munich, Germany","November 22, 2000",Center
John Bagley,/players/b/baglejo01.html,1983,1994,G,6-0,185,"April 23, 1960",Boston College,Right,6-0,185lb,"Bridgeport, Connecticut","October 29, 1982",Point Guard
Marvin Bagley III,/players/b/baglema01.html,2019,2022,F-C,6-11,235,"March 14, 1999",Duke,Left,6-11,235lb,"Tempe, Arizona","October 17, 2018",Power Forward and Center
Carl Bailey,/players/b/baileca01.html,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,Right,7-0,210lb,Birm,"April 9, 1982",Center
Gus Bailey,/players/b/bailegu01.html,1975,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso,Right,6-5,185lb,"Gibson, North Carol","October 22, 1974",Shooting Guard
James Bailey,/players/b/baileja01.html,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,Right,6-9,220lb,Dubl,"October 14, 1979",Power Forward
Thurl Bailey,/players/b/baileth01.html,1984,1999,F-C,6-11,215,"April 7, 1961",NC State,Right,6-11,215lb,Wash,"October 29, 1983",Power Forward and Small Forward
Toby Bailey,/players/b/baileto01.html,1999,2000,G,6-6,213,"November 19, 1975",UCLA,Right,6-6,213lb,"Los Angeles, California","February 5, 1999",Shooting Guard
Cameron Bairstow,/players/b/bairsca01.html,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico,Right,6-9,250lb,"Brisbane, Australia","October 29, 2014",Center and Power Forward
Jimmie Baker,/players/b/bakerji01.html,1976,1976,F,6-9,220,"December 25, 1953",Hawaii,Right,6-9,220lb,"Philadelphia, Pennsylvania",NA,Power Forward
Mark Baker,/players/b/bakerla01.html,1999,1999,G,6-1,175,"November 11, 1969",Ohio State,Right,6-1,175lb,"Dayton, Ohio","February 6, 1999",Point Guard
Maurice Baker,/players/b/bakerma01.html,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State,Right,6-1,175lb,"Granite City, Ill","February 23, 2005",Point Guard
Norm Baker,/players/b/bakerno01.html,1947,1947,G,6-0,180,"February 17, 1923",,Right,6-0,180lb,"Victoria, Canada","November 2, 1946",Guard
Ron Baker,/players/b/bakerro01.html,2017,2019,G,6-4,220,"March 30, 1993",Wichita State,Right,6-4,220lb,"Hays, Kansas","October 25, 2016",Shooting Guard
Vin Baker,/players/b/bakervi01.html,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford,Right,6-11,232lb,"Lake Wales, Florida","November 5, 1993",Power Forward and Center
Wade Baldwin,/players/b/baldwwa01.html,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt,Right,6-4,200lb,"Belle Mead, New Jersey","October 26, 2016",Point Guard
Renaldo Balkman,/players/b/balkmre01.html,2007,2012,F,6-8,208,"July 14, 1984",South Carolina,Right,6-8,208lb,"Staten Island, New York","November 1, 2006",Small Forward and Power Forward
Cedric Ball,/players/b/ballce01.html,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte,Right,6-8,210lb,"Worcester, Massachusetts","November 14, 1990",Power Forward
LaMelo Ball,/players/b/ballla01.html,2021,2022,G,6-7,180,"August 22, 2001",,Right,6-7,180lb,"Anaheim, California","December 23, 2020",Point Guard
Lonzo Ball,/players/b/balllo01.html,2018,2022,G,6-6,190,"October 27, 1997",UCLA,Right,6-6,190lb,"Anaheim, California","October 19, 2017",Point Guard
Greg Ballard,/players/b/ballagr01.html,1978,1989,F,6-7,215,"January 29, 1955",Oregon,Right,6-7,215lb,"Los Angeles, California","October 21, 1977",Small Forward
Herschel Baltimore,/players/b/baltihe01.html,1947,1947,F,6-4,195,"June 21, 1921",Penn State,Right,6-4,195lb,"Duryea, Pennsylvania","November 2, 1946",Forward
Mo Bamba,/players/b/bambamo01.html,2019,2022,C,7-0,231,"May 12, 1998",Texas,Right,7-0,231lb,"Harlem, New York","October 17, 2018",Center
Desmond Bane,/players/b/banede01.html,2021,2022,G,6-5,215,"June 25, 1998",TCU,Right,6-5,215lb,"Richmond, Indiana","December 23, 2020",Small Forward and Shooting Guard
Gene Banks,/players/b/banksge01.html,1982,1987,F-G,6-7,215,"May 15, 1959",Duke,Right,6-7,215lb,"Philadelphia, Pennsylvania","October 30, 1981",Small Forward and Power Forward
Marcus Banks,/players/b/banksma01.html,2004,2011,G,6-2,200,"November 19, 1981",UNLV,Right,6-2,200lb,"Las Vegas, Nevada","October 29, 2003",Point Guard
Walker Banks,/players/b/bankswa01.html,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky,Right,6-10,205lb,NA,NA,Center
Ken Bannister,/players/b/bannike01.html,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College",Right,6-9,235lb,"Baltimore, Maryland","October 27, 1984",Power Forward
Mike Bantom,/players/b/bantomi01.html,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's,Right,6-9,200lb,"Philadelphia, Pennsylvania","October 10, 1973",Small Forward and Power Forward
Dalano Banton,/players/b/bantoda01.html,2022,2022,G-F,6-9,204,"November 7, 1999",Nebraska,Right,6-9,204lb,"Toronto, Canada","October 20, 2021",Small Forward
Cat Barber,/players/b/barbeca01.html,2022,2022,G,6-2,190,"July 25, 1994",NC State,Right,6-2,190lb,"Newport News, Virg","December 25, 2021",Point Guard
John Barber,/players/b/barbejo01.html,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",Right,6-6,210lb,NA,"February 3, 1957",Forward
Leandro Barbosa,/players/b/barbole01.html,2004,2017,G,6-3,194,"November 28, 1982",,Right,6-3,194lb,"Sao Paulo, Brazil","November 12, 2003",Shooting Guard and Point Guard
Steve Bardo,/players/b/bardost01.html,1992,1996,G,6-5,190,"April 5, 1968",Illinois,Right,6-5,190lb,"Henderson, Kentucky","February 19, 1992",Shooting Guard
J.J. Barea,/players/b/bareajo01.html,2007,2020,G,5-10,180,"June 26, 1984",Northeastern University,Right,5-10,180lb,"Mayaguez, Puerto Rico","November 4, 2006",Point Guard and Shooting Guard
Andrea Bargnani,/players/b/bargnan01.html,2007,2016,F-C,7-0,245,"October 26, 1985",,Right,7-0,245lb,"Rome, Italy","November 1, 2006",Center and Power Forward
Cliff Barker,/players/b/barkecl01.html,1950,1952,G,6-2,185,"January 15, 1921",Kentucky,Right,6-2,185lb,"Yorktown, Indiana","November 1, 1949",Shooting Guard
Tom Barker,/players/b/barketo01.html,1977,1979,C-F,6-11,225,"March 11, 1955",Hawaii,Right,6-11,225lb,Harl,"October 21, 1976",Center
Charles Barkley,/players/b/barklch01.html,1985,2000,F,6-6,252,"February 20, 1963",Auburn,Right,6-6,252lb,"Leeds, Alabama","October 26, 1984",Power Forward and Small Forward
Erick Barkley,/players/b/barkler01.html,2001,2002,G,6-1,177,"February 21, 1978",St. John's,Right,6-1,177lb,"Queens, New York","November 2, 2000",Point Guard
Don Barksdale,/players/b/barksdo01.html,1952,1955,F-C,6-6,200,"March 31, 1923",UCLA,Right,6-6,200lb,"Oakland, California","November 1, 1951",Power Forward and Small Forward
Harrison Barnes,/players/b/barneha02.html,2013,2022,F,6-8,225,"May 30, 1992",UNC,Right,6-8,225lb,"Ames, Iowa","October 31, 2012",Power Forward and Small Forward
Harry Barnes,/players/b/barneha01.html,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,Right,6-3,205lb,NA,"October 17, 1968",Small Forward
Jim Barnes,/players/b/barneji01.html,1965,1971,C-F,6-8,210,"April 13, 1941",Texas-El Paso,Right,6-8,210lb,"Tuckerman, Arkansas","October 30, 1964",Power Forward and Center
Marvin Barnes,/players/b/barnema01.html,1975,1980,F-C,6-8,210,"July 27, 1952",Providence,Right,6-8,210lb,"Providence, Rhode Island","November 24, 1976",Power Forward
Matt Barnes,/players/b/barnema02.html,2004,2017,F,6-7,226,"March 9, 1980",UCLA,Right,6-7,226lb,"Santa Clara, California","January 19, 2004",Small Forward and Power Forward
Scottie Barnes,/players/b/barnesc01.html,2022,2022,G-F,6-9,227,"August 1, 2001",Florida State,Right,6-9,227lb,"West Palm Beach, Florida","October 20, 2021",Power Forward
Dick Barnett,/players/b/barnedi01.html,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State,Left,6-4,190lb,"Gary, Indiana","December 1, 1959",Shooting Guard
Jim Barnett,/players/b/barneji02.html,1967,1977,G-F,6-4,170,"July 7, 1944",Oregon,Right,6-4,170lb,"Greenville, South Carol","October 21, 1966",Shooting Guard and Point Guard
Nathaniel Barnett,/players/b/barnena01.html,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,Right,6-3,175lb,NA,NA,Point Guard
John Barnhill,/players/b/barnhjo01.html,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State,Right,6-1,180lb,"Sturgis, Kentucky","October 20, 1962",Point Guard and Shooting Guard
Norton Barnhill,/players/b/barnhno01.html,1977,1977,G,6-4,205,"July 15, 1953",Washington State,Right,6-4,205lb,W,"October 24, 1976",Shooting Guard
Leo Barnhorst,/players/b/barnhle01.html,1950,1954,F-G,6-4,190,"May 11, 1924",Notre Dame,Right,6-4,190lb,"Indianapolis, Indiana","November 1, 1949",Small Forward
John Barr,/players/b/barrjo01.html,1947,1947,F,6-3,205,"August 18, 1918",Penn State,Right,6-3,205lb,Shamok,"November 2, 1946",Forward
Mike Barr,/players/b/barrmi01.html,1973,1977,G,6-3,180,"October 19, 1950",Duquesne,Left,6-3,180lb,"Canton, Ohio","October 22, 1976",Shooting Guard
Moe Barr,/players/b/barrmo01.html,1971,1971,G,6-4,195,"June 19, 1944",Duquesne,Right,6-4,195lb,"Pittsburgh, Pennsylvania","October 14, 1970",Guard
Andre Barrett,/players/b/barrean01.html,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall,Right,5-10,172lb,"Bronx, New York","November 23, 2004",Point Guard
Ernie Barrett,/players/b/barreer01.html,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State,Right,6-3,180lb,"Pratt, Kansas","November 1, 1953",Shooting Guard
Mike Barrett,/players/b/barremi01.html,1970,1973,G,6-2,155,"September 5, 1943",West Virginia Tech,Right,6-2,155lb,"Montgomery, West Virg",NA,Shooting Guard and Point Guard
RJ Barrett,/players/b/barrerj01.html,2020,2022,G-F,6-6,214,"June 14, 2000",Duke,Left,6-6,214lb,"Toronto, Canada","October 23, 2019",Shooting Guard and Small Forward
Earl Barron,/players/b/barroea01.html,2006,2015,C,7-0,250,"August 14, 1981",Memphis,Right,7-0,250lb,"Clarksdale, Mississippi","November 2, 2005",Center
Dana Barros,/players/b/barroda01.html,1990,2004,G,5-11,163,"April 13, 1967",Boston College,Right,5-11,163lb,"Boston, Massachusetts","November 3, 1989",Point Guard and Shooting Guard
Brent Barry,/players/b/barrybr01.html,1996,2009,G,6-6,185,"December 31, 1971",Oregon State,Right,6-6,185lb,"Hempstead, New York","November 3, 1995",Shooting Guard and Small Forward
Drew Barry,/players/b/barrydr01.html,1998,2000,G,6-5,191,"February 17, 1973",Georgia Tech,Right,6-5,191lb,"Oakland, California","January 21, 1998",Point Guard and Shooting Guard
Jon Barry,/players/b/barryjo01.html,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Tech",Right,6-4,195lb,"Oakland, California","December 8, 1992",Shooting Guard
Rick Barry,/players/b/barryri01.html,1966,1980,F,6-7,205,"March 28, 1944",Miami (FL),Right,6-7,205lb,"Elizabeth, New Jersey","October 15, 1965",Small Forward
Ed Bartels,/players/b/barteed01.html,1950,1951,F,6-5,195,"October 8, 1925",NC State,Right,6-5,195lb,"New York, New York","October 29, 1949",Forward
Vic Bartolome,/players/b/bartovi01.html,1972,1972,C,7-0,230,"September 29, 1948",Oregon State,Right,7-0,230lb,NA,"October 15, 1971",Center
Will Barton,/players/b/bartowi01.html,2013,2022,G,6-6,181,"January 6, 1991",Memphis,Right,6-6,181lb,"Baltimore, Maryland","November 2, 2012",Shooting Guard and Small Forward
Eddie Basden,/players/b/basdeed01.html,2006,2006,G,6-5,215,"February 15, 1983",UNC Charlotte,Right,6-5,215lb,"New York, New York","November 7, 2005",Small Forward
Jerry Baskerville,/players/b/baskeje01.html,1976,1976,F,6-7,190,"November 10, 1951",Temple,Right,6-7,190lb,"Philadelphia, Pennsylvania","December 12, 1975",Small Forward
Brandon Bass,/players/b/bassbr01.html,2006,2017,F,6-8,250,"April 30, 1985",LSU,Right,6-8,250lb,"Baton Rouge, Louisiana","November 1, 2005",Power Forward and Center
Paris Bass,/players/b/basspa01.html,2022,2022,F,6-8,200,"August 29, 1995",Detroit Mercy,Right,6-8,200lb,Birm,"January 2, 2022",Small Forward
Tim Bassett,/players/b/basseti01.html,1974,1980,F-C,6-8,225,"April 1, 1951",Georgia,Left,6-8,225lb,Wash,"October 22, 1976",Power Forward
Charles Bassey,/players/b/bassech01.html,2022,2022,C,6-11,235,"October 28, 2000",Western Kentucky,Right,6-11,235lb,"Lagos, Nigeria","October 20, 2021",Power Forward
Maceo Baston,/players/b/bastoma01.html,2003,2009,F,6-9,215,"May 29, 1975",Michigan,Right,6-9,215lb,"Corsicana, Texas","February 12, 2003",Power Forward
Mengke Bateer,/players/b/bateeme01.html,2002,2004,C,6-11,290,"November 20, 1975",,Right,6-11,290lb,Beij,"February 27, 2002",Center
Billy Ray Bates,/players/b/batesbi01.html,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,Right,6-4,210lb,"Kosciusko, Mississippi","February 23, 1980",Shooting Guard
Keita Bates-Diop,/players/b/bateske01.html,2019,2022,F,6-8,229,"January 23, 1996",Ohio State,Right,6-8,229lb,Bloom,"October 26, 2018",Small Forward and Power Forward
Esteban Batista,/players/b/batises01.html,2006,2007,F-C,6-10,270,"September 2, 1983",,Left,6-10,270lb,"Montevideo, Uruguay","November 2, 2005",Power Forward
Mike Batiste,/players/b/batismi01.html,2003,2003,F,6-8,225,"November 21, 1977",Arizona State,Right,6-8,225lb,"Long Beach, California","November 1, 2002",Power Forward
Tony Battie,/players/b/battito01.html,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech,Right,6-11,230lb,"Dallas, Texas","October 31, 1997",Center and Power Forward
Shane Battier,/players/b/battish01.html,2002,2014,F,6-8,220,"September 9, 1978",Duke,Right,6-8,220lb,Birm,"November 1, 2001",Small Forward and Shooting Guard
John Battle,/players/b/battljo01.html,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,Right,6-2,175lb,Wash,"October 26, 1985",Shooting Guard
Kenny Battle,/players/b/battlke01.html,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois, Illinois",Left,6-6,210lb,"Aurora, Ill","November 3, 1989",Shooting Guard
