Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Lonny Baxter,/players/b/baxtelo01.html,2003,2006,F,6-8,260,"January 27, 1979",Maryland
Jerryd Bayless,/players/b/bayleje01.html,2009,2019,G,6-3,200,"August 20, 1988",Arizona
Elgin Baylor,/players/b/bayloel01.html,1959,1972,F,6-5,225,"September 16, 1934","College of Idaho, Seattle University"
Howard Bayne,/players/b/bayneho01.html,1968,1968,F,6-6,235,"July 28, 1942",Tennessee
Aron Baynes,/players/b/baynear01.html,2013,2021,C,6-10,260,"December 9, 1986",Washington State
Sergei Bazarevich,/players/b/bazarse01.html,1995,1995,G,6-2,168,"March 16, 1965",
Kent Bazemore,/players/b/bazemke01.html,2013,2022,G-F,6-4,195,"July 1, 1989",Old Dominion
Darius Bazley,/players/b/bazleda01.html,2020,2022,F,6-8,208,"June 12, 2000",
Ed Beach,/players/b/beached01.html,1951,1951,F,6-3,200,"January 25, 1929",West Virginia
Bradley Beal,/players/b/bealbr01.html,2013,2022,G,6-4,207,"June 28, 1993",Florida
Al Beard,/players/b/beardal01.html,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State
Butch Beard,/players/b/beardbu01.html,1970,1979,G,6-3,185,"May 4, 1947",Louisville
Ralph Beard,/players/b/beardra01.html,1950,1951,G,5-10,175,"December 2, 1927",Kentucky
Charles Beasley,/players/b/beaslch01.html,1968,1971,G-F,6-5,190,"September 23, 1945",SMU
Jerome Beasley,/players/b/beaslje01.html,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota"
John Beasley,/players/b/beasljo01.html,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M
Malik Beasley,/players/b/beaslma01.html,2017,2022,G,6-4,187,"November 26, 1996",Florida State
Michael Beasley,/players/b/beaslmi01.html,2009,2019,F,6-9,235,"January 9, 1989",Kansas State
Zelmo Beaty,/players/b/beatyze01.html,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University
Rodrigue Beaubois,/players/b/beaubro01.html,2010,2013,G,6-0,170,"February 24, 1988",
Byron Beck,/players/b/beckby01.html,1968,1977,C-F,6-9,225,"January 25, 1945",Denver
Corey Beck,/players/b/beckco01.html,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, Arkansas"
Ernie Beck,/players/b/becker01.html,1954,1961,G-F,6-4,190,"December 11, 1931",Penn
Arthur Becker,/players/b/beckear01.html,1968,1973,F,6-7,205,"January 12, 1942",Arizona State
Moe Becker,/players/b/beckemo01.html,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne
Bob Bedell,/players/b/bedelbo01.html,1968,1971,F,6-7,205,"June 26, 1944",Stanford
William Bedford,/players/b/bedfowi01.html,1987,1993,C,7-0,225,"December 14, 1963",Memphis
Hank Beenders,/players/b/beendha01.html,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University
Ron Behagen,/players/b/behagro01.html,1974,1980,F-C,6-9,185,"January 14, 1951",Minnesota
Elmer Behnke,/players/b/behnkel01.html,1952,1952,C,6-7,210,"February 3, 1929",Bradley
Marco Belinelli,/players/b/belinma01.html,2008,2020,G-F,6-5,220,"March 25, 1986",
Charlie Bell,/players/b/bellch01.html,2002,2011,G,6-3,200,"March 12, 1979",Michigan State
Dennis Bell,/players/b/bellde01.html,1974,1976,F,6-5,185,"June 2, 1951",Drake University
Jordan Bell,/players/b/belljo01.html,2018,2022,F,6-8,216,"January 7, 1995",Oregon
Raja Bell,/players/b/bellra01.html,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University"
Troy Bell,/players/b/belltr01.html,2004,2004,G,6-1,180,"November 10, 1980",Boston College
Whitey Bell,/players/b/bellwh01.html,1960,1961,G,6-0,180,"September 13, 1932",NC State
Walt Bellamy,/players/b/bellawa01.html,1962,1975,C,6-11,225,"July 24, 1939",Indiana
DeAndre' Bembry,/players/b/bembrde01.html,2017,2022,F,6-5,210,"July 4, 1994",Saint Joseph's
Irv Bemoras,/players/b/bemorir01.html,1954,1957,F-G,6-3,185,"November 18, 1930",Illinois
Leon Benbow,/players/b/benbole01.html,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University
Dragan Bender,/players/b/bendedr01.html,2017,2020,F,7-0,225,"November 17, 1997",
Jonathan Bender,/players/b/bendejo01.html,2000,2010,F,6-11,202,"January 30, 1981",
Jerrelle Benimon,/players/b/benimje01.html,2015,2015,F,6-8,245,"August 1, 1991","Georgetown, Towson University"
Benoit Benjamin,/players/b/benjabe01.html,1986,2000,C,7-0,250,"November 22, 1964",Creighton
Corey Benjamin,/players/b/benjaco01.html,1999,2003,G,6-6,200,"February 24, 1978",Oregon State
Anthony Bennett,/players/b/bennean01.html,2014,2017,F,6-8,245,"March 14, 1993",UNLV
Elmer Bennett,/players/b/benneel01.html,1995,1997,G,6-0,170,"February 13, 1970",Notre Dame
Mario Bennett,/players/b/bennema01.html,1996,2000,F,6-6,235,"August 1, 1973",Arizona State
Mel Bennett,/players/b/benneme01.html,1976,1982,F,6-7,200,"January 4, 1955",Pitt
Spider Bennett,/players/b/bennesp01.html,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State
Tony Bennett,/players/b/benneto01.html,1993,1995,G,6-0,175,"June 1, 1969",Green Bay
Winston Bennett,/players/b/bennewi01.html,1990,1992,F,6-7,210,"February 9, 1965",Kentucky
David Benoit,/players/b/benoida01.html,1992,2001,F,6-8,220,"May 9, 1968",Alabama
Keith Benson,/players/b/bensoke02.html,2012,2012,C,6-11,240,"August 13, 1988",Oakland
Kent Benson,/players/b/bensoke01.html,1978,1988,C,6-10,235,"December 27, 1954",Indiana
Ben Bentil,/players/b/bentibe01.html,2017,2017,F,6-9,235,"March 29, 1995",Providence
Gene Berce,/players/b/bercege01.html,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette
Gary Bergen,/players/b/bergega01.html,1957,1957,C,6-8,210,"July 16, 1932",Utah
Larry Bergh,/players/b/berghla01.html,1970,1970,F,6-8,210,"April 2, 1945",Weber State
Ricky Berry,/players/b/berryri01.html,1989,1989,F,6-8,205,"October 6, 1964","Oregon State, San Jose State"
Walter Berry,/players/b/berrywa01.html,1987,1989,F,6-8,215,"May 14, 1964",St. John's
Dairis Bertāns,/players/b/bertada02.html,2019,2019,G,6-4,200,"September 9, 1989",
Dāvis Bertāns,/players/b/bertada01.html,2017,2022,F,6-10,225,"November 12, 1992",
Del Beshore,/players/b/beshode01.html,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania
Travis Best,/players/b/besttr01.html,1996,2005,G,5-11,182,"July 12, 1972",Georgia Tech
Patrick Beverley,/players/b/beverpa01.html,2013,2022,G,6-1,180,"July 12, 1988",Arkansas
Saddiq Bey,/players/b/beysa01.html,2021,2022,F,6-7,215,"April 9, 1999",Villanova
Tyler Bey,/players/b/beyty01.html,2021,2021,F,6-7,215,"February 10, 1998",Colorado
Sim Bhullar,/players/b/bhullsi01.html,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State
Wesley Bialosuknia,/players/b/bialowe01.html,1968,1968,G,6-2,185,"June 8, 1945",UConn
Al Bianchi,/players/b/biancal01.html,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green
Hank Biasatti,/players/b/biasaha01.html,1947,1947,G,5-11,175,"January 14, 1922",Long Island University
Henry Bibby,/players/b/bibbyhe01.html,1973,1981,G,6-1,185,"November 24, 1949",UCLA
Mike Bibby,/players/b/bibbymi01.html,1999,2012,G,6-1,190,"May 13, 1978",Arizona
Ed Biedenbach,/players/b/biedeed01.html,1969,1969,G,6-1,175,"August 12, 1945",NC State
Andris Biedriņš,/players/b/biedran01.html,2005,2014,C,6-11,240,"April 2, 1986",
Don Bielke,/players/b/bielkdo01.html,1956,1956,C,6-7,240,"May 10, 1932",Valparaiso
Bob Bigelow,/players/b/bigelbo01.html,1976,1979,F-G,6-7,215,"December 26, 1953",Penn
Lionel Billingy,/players/b/billili01.html,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne
Chauncey Billups,/players/b/billuch01.html,1998,2014,G,6-3,202,"September 25, 1976",Colorado
Dave Bing,/players/b/bingda01.html,1967,1978,G,6-3,180,"November 24, 1943",Syracuse
Joe Binion,/players/b/biniojo01.html,1987,1987,F,6-8,235,"March 26, 1961",North Carolina A&T
Khem Birch,/players/b/birchkh01.html,2018,2022,C-F,6-9,233,"September 28, 1992","Pitt, UNLV"
Jabari Bird,/players/b/birdja01.html,2018,2018,G,6-6,198,"July 3, 1994",California
Jerry Bird,/players/b/birdje01.html,1959,1959,F,6-6,210,"February 2, 1935",Kentucky
Larry Bird,/players/b/birdla01.html,1980,1992,F,6-9,220,"December 7, 1956",Indiana State University
Otis Birdsong,/players/b/birdsot01.html,1978,1989,G,6-3,190,"December 9, 1955",Houston
Gale Bishop,/players/b/bishoga01.html,1949,1949,F,6-3,195,"June 4, 1922",Washington State
Goga Bitadze,/players/b/bitadgo01.html,2020,2022,C,6-11,250,"July 20, 1999",
Bismack Biyombo,/players/b/biyombi01.html,2012,2022,C-F,6-8,255,"August 28, 1992",
Nemanja Bjelica,/players/b/bjeline01.html,2016,2022,F,6-10,234,"May 9, 1988",
Uwe Blab,/players/b/blabuw01.html,1986,1990,C,7-1,252,"March 26, 1962",Indiana
Charlie Black,/players/b/blackch01.html,1949,1952,F-C,6-5,200,"June 15, 1921",Kansas
Norman Black,/players/b/blackno01.html,1981,1981,G,6-5,185,"November 12, 1957",Saint Joseph's
Tarik Black,/players/b/blackta01.html,2015,2018,C-F,6-9,250,"November 22, 1991","Memphis, Kansas"
Tom Black,/players/b/blackto01.html,1971,1971,C,6-10,220,"July 9, 1941",South Dakota State
Rolando Blackman,/players/b/blackro01.html,1982,1994,G,6-6,190,"February 26, 1959",Kansas State
Alex Blackwell,/players/b/blackal01.html,1993,1993,F,6-6,250,"June 27, 1970",Monmouth University
Cory Blackwell,/players/b/blackco01.html,1985,1985,F,6-6,210,"March 27, 1963",Wisconsin
James Blackwell,/players/b/blackja01.html,1995,1995,G,6-0,190,"February 25, 1968",Dartmouth College
Nate Blackwell,/players/b/blackna01.html,1988,1988,G,6-4,170,"February 15, 1965",Temple
DeJuan Blair,/players/b/blairde01.html,2010,2016,F-C,6-7,270,"April 22, 1989",Pitt
Steve Blake,/players/b/blakest01.html,2004,2016,G,6-3,172,"February 26, 1980",Maryland
Antonio Blakeney,/players/b/blakean01.html,2018,2019,G,6-4,192,"October 4, 1996",LSU
Will Blalock,/players/b/blalowi01.html,2007,2007,G,6-0,205,"September 8, 1983",Iowa State
George Blaney,/players/b/blanege01.html,1962,1962,G,6-1,175,"November 12, 1939",Holy Cross
Lance Blanks,/players/b/blankla01.html,1991,1993,G,6-4,190,"September 9, 1966","Virginia, Texas"
Ricky Blanton,/players/b/blantri01.html,1993,1993,F,6-7,215,"April 21, 1966",LSU
Andray Blatche,/players/b/blatcan01.html,2006,2014,F,6-11,235,"August 22, 1986",
Mookie Blaylock,/players/b/blaylmo01.html,1990,2002,G,6-0,180,"March 20, 1967","Midland College, Oklahoma"
Eric Bledsoe,/players/b/bledser01.html,2011,2022,G,6-1,214,"December 9, 1989",Kentucky
Keljin Blevins,/players/b/blevike01.html,2021,2022,F,6-4,200,"November 24, 1995","Southern Miss, Montana State"
Leon Blevins,/players/b/blevile01.html,1951,1951,G,6-2,160,"June 25, 1926",Arizona
John Block,/players/b/blockjo01.html,1967,1976,F-C,6-9,207,"April 16, 1944",USC
Mike Bloom,/players/b/bloommi01.html,1948,1949,F-C,6-6,190,"January 14, 1915",Temple
Jaron Blossomgame,/players/b/blossja01.html,2019,2019,F,6-8,220,"September 16, 1993",Clemson
Corie Blount,/players/b/blounco01.html,1994,2004,F,6-9,240,"January 4, 1969",Cincinnati
Mark Blount,/players/b/blounma01.html,2001,2009,C,7-0,230,"November 30, 1975",Pitt
Vander Blue,/players/b/blueva01.html,2014,2018,G,6-4,200,"July 17, 1992",Marquette
Ray Blume,/players/b/blumera01.html,1982,1982,G,6-4,185,"September 23, 1958",Oregon State
Nelson Bobb,/players/b/bobbne01.html,1950,1953,G,6-0,170,"February 25, 1924",Temple
Tony Bobbitt,/players/b/bobbito01.html,2005,2005,G,6-4,190,"October 22, 1979",Cincinnati
Bucky Bockhorn,/players/b/bockhbu01.html,1959,1965,G,6-4,200,"July 8, 1933",Dayton
Tom Boerwinkle,/players/b/boerwto01.html,1969,1978,C,7-0,265,"August 23, 1945",Tennessee
Keith Bogans,/players/b/boganke01.html,2004,2014,G-F,6-5,215,"May 12, 1980",Kentucky
Bogdan Bogdanović,/players/b/bogdabo01.html,2018,2022,G,6-6,220,"August 18, 1992",
Bojan Bogdanović,/players/b/bogdabo02.html,2015,2022,G-F,6-7,226,"April 18, 1989",
Muggsy Bogues,/players/b/boguemu01.html,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest
Andrew Bogut,/players/b/bogutan01.html,2006,2019,C,7-0,260,"November 28, 1984",Utah
Etdrick Bohannon,/players/b/bohanet01.html,1998,2001,F,6-9,220,"May 29, 1973","Arizona, Tennessee, Auburn University at Montgomery"
Bol Bol,/players/b/bolbo01.html,2020,2022,F-C,7-2,220,"November 16, 1999",Oregon
Manute Bol,/players/b/bolma01.html,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
Jonah Bolden,/players/b/boldejo01.html,2019,2020,F,6-8,220,"January 2, 1996",UCLA
Marques Bolden,/players/b/boldema01.html,2020,2021,C,6-10,249,"April 17, 1998",Duke
Bill Bolger,/players/b/bolgebi01.html,1954,1954,F,6-5,205,"August 21, 1931",Georgetown
Leandro Bolmaro,/players/b/bolmale01.html,2022,2022,F,6-6,200,"September 11, 2000",
Joel Bolomboy,/players/b/bolomjo01.html,2017,2018,F,6-9,235,"January 28, 1994",Weber State
Doug Bolstorff,/players/b/bolstdo01.html,1958,1958,G,6-4,195,"October 29, 1931",Minnesota
George Bon Salle,/players/b/bonsage01.html,1962,1962,F,6-8,220,"July 1, 1935",Illinois
Phil Bond,/players/b/bondph01.html,1978,1978,G,6-2,175,"July 27, 1954",Louisville
Walter Bond,/players/b/bondwa01.html,1993,1995,G,6-5,200,"February 1, 1969",Minnesota
Jordan Bone,/players/b/bonejo01.html,2020,2021,G,6-2,180,"November 5, 1997",Tennessee
Dexter Boney,/players/b/boneyde01.html,1997,1997,G,6-4,185,"April 27, 1970",UNLV
Isaac Bonga,/players/b/bongais01.html,2019,2022,G,6-8,180,"November 8, 1999",
Ron Bonham,/players/b/bonharo01.html,1965,1968,F,6-5,192,"May 31, 1942",Cincinnati
Anthony Bonner,/players/b/bonnean01.html,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis
Matt Bonner,/players/b/bonnema01.html,2005,2016,F,6-10,235,"April 5, 1980",Florida
Butch Booker,/players/b/bookebu01.html,1970,1970,C,6-10,230,"July 20, 1945",Cheyney (PA)
Devin Booker,/players/b/bookede01.html,2016,2022,G,6-5,206,"October 30, 1996",Kentucky
Melvin Booker,/players/b/bookeme01.html,1996,1997,G,6-1,185,"August 20, 1972",Missouri
Trevor Booker,/players/b/booketr01.html,2011,2018,F,6-8,228,"November 25, 1987",Clemson
Josh Boone,/players/b/boonejo01.html,2007,2010,F-C,6-10,237,"November 21, 1984",UConn
Ron Boone,/players/b/boonero01.html,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University
Calvin Booth,/players/b/boothca01.html,2000,2009,C,6-11,230,"May 7, 1976",Penn State
Keith Booth,/players/b/boothke01.html,1998,1999,F,6-6,226,"October 9, 1974",Maryland
Bob Boozer,/players/b/boozebo01.html,1961,1971,F,6-8,215,"April 26, 1937",Kansas State
Carlos Boozer,/players/b/boozeca01.html,2003,2015,F-C,6-9,258,"November 20, 1981",Duke
Curtis Borchardt,/players/b/borchcu01.html,2004,2005,C,7-0,240,"September 13, 1980",Stanford
Jake Bornheimer,/players/b/bornhja01.html,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College
Lazaro Borrell,/players/b/borrela01.html,2000,2000,F,6-8,220,"September 20, 1972",
Ike Borsavage,/players/b/borsaik01.html,1951,1951,C-F,6-8,220,"July 25, 1924",Temple
Vince Boryla,/players/b/borylvi01.html,1950,1954,F,6-5,210,"March 11, 1927",Denver
Chris Bosh,/players/b/boshch01.html,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Tech
Jim Bostic,/players/b/bostiji01.html,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State
Brandon Boston Jr.,/players/b/bostobr01.html,2022,2022,G-F,6-7,185,"November 28, 2001",Kentucky
Lawrence Boston,/players/b/bostola01.html,1980,1980,F,6-8,225,"May 18, 1956","Vincennes University, Maryland"
Tom Boswell,/players/b/bosweto01.html,1976,1984,F-C,6-9,220,"October 2, 1953","South Carolina State, South Carolina"
Chris Boucher,/players/b/bouchch01.html,2018,2022,F,6-9,200,"January 11, 1993",Oregon
James Bouknight,/players/b/bouknja01.html,2022,2022,G,6-5,190,"September 18, 2000",UConn
Ruben Boumtje-Boumtje,/players/b/boumtru01.html,2002,2004,C,7-0,257,"May 20, 1978",Georgetown
Don Boven,/players/b/bovendo01.html,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan
Cal Bowdler,/players/b/bowdlca01.html,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion
Brian Bowen,/players/b/bowenbr02.html,2020,2021,F,6-6,190,"October 2, 1998",
Bruce Bowen,/players/b/bowenbr01.html,1997,2009,F,6-7,185,"June 14, 1971",Cal State Fullerton
Ryan Bowen,/players/b/bowenry01.html,2000,2010,F,6-7,215,"November 20, 1975",Iowa
Tommie Bowens,/players/b/bowento01.html,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University
Anthony Bowie,/players/b/bowiean01.html,1989,1998,G-F,6-6,190,"November 9, 1963",Oklahoma
Sam Bowie,/players/b/bowiesa01.html,1985,1995,C-F,7-1,235,"March 17, 1961",Kentucky
Orbie Bowling,/players/b/bowlior01.html,1968,1968,C,6-10,215,"March 21, 1939",Tennessee
Ira Bowman,/players/b/bowmair01.html,2000,2002,G,6-5,195,"June 11, 1973","Providence, Penn"
Ky Bowman,/players/b/bowmaky01.html,2020,2020,G,6-1,187,"June 16, 1997",Boston College
Nate Bowman,/players/b/bowmana01.html,1967,1972,C,6-10,230,"March 19, 1943",Wichita State
Donnie Boyce,/players/b/boycedo01.html,1996,1997,G,6-5,196,"September 2, 1973",Colorado
Dennis Boyd,/players/b/boydde01.html,1979,1979,G,6-1,175,"May 21, 1954",Detroit Mercy
Freddie Boyd,/players/b/boydfr01.html,1973,1978,G,6-2,180,"June 13, 1950",Oregon State
Ken Boyd,/players/b/boydke01.html,1975,1975,F,6-5,195,"March 25, 1952",Boston University
Earl Boykins,/players/b/boykiea01.html,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan
Harry Boykoff,/players/b/boykoha01.html,1950,1951,C,6-10,225,"July 24, 1922",St. John's
Winford Boynes,/players/b/boynewi01.html,1979,1981,G-F,6-6,185,"May 17, 1957",San Francisco
Cedric Bozeman,/players/b/bozemce01.html,2007,2007,G,6-6,207,"March 7, 1983",UCLA
Steve Bracey,/players/b/bracest01.html,1973,1975,G,6-1,175,"August 1, 1950",Tulsa
Craig Brackins,/players/b/brackcr01.html,2011,2012,F,6-10,230,"October 9, 1987",Iowa State
Gary Bradds,/players/b/braddga01.html,1965,1971,F,6-8,210,"July 26, 1942",Ohio State
Alex Bradley,/players/b/bradlal02.html,1982,1982,F,6-6,215,"October 30, 1959",Villanova
Alonzo Bradley,/players/b/bradlal01.html,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern
Avery Bradley,/players/b/bradlav01.html,2011,2022,G,6-3,180,"November 26, 1990",Texas
Bill Bradley,/players/b/bradlbi02.html,1968,1968,G,5-11,165,"June 16, 1941",
Bill Bradley,/players/b/bradlbi02.html,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton
Bill Bradley,/players/b/bradlbi01.html,1968,1968,G,5-11,165,"June 16, 1941",
Bill Bradley,/players/b/bradlbi01.html,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton
Charles Bradley,/players/b/bradlch01.html,1982,1984,G,6-5,215,"May 16, 1959",Wyoming
Dudley Bradley,/players/b/bradldu01.html,1980,1989,G-F,6-6,195,"March 19, 1957",UNC
Jim Bradley,/players/b/bradlji01.html,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois
Joe Bradley,/players/b/bradljo01.html,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State
Michael Bradley,/players/b/bradlmi01.html,2002,2006,F-C,6-10,245,"April 18, 1979","Kentucky, Villanova"
Shawn Bradley,/players/b/bradlsh01.html,1994,2005,C,7-6,235,"March 22, 1972",BYU
Tony Bradley,/players/b/bradlto01.html,2018,2022,F-C,6-10,248,"January 8, 1998",UNC
Mark Bradtke,/players/b/bradtma01.html,1997,1997,C-F,6-10,265,"September 27, 1968",
Marques Bragg,/players/b/braggma01.html,1996,1996,F,6-8,230,"March 24, 1970",Providence
Torraye Braggs,/players/b/braggto01.html,2004,2005,F,6-8,245,"May 15, 1976",Xavier
A.J. Bramlett,/players/b/bramlaj01.html,2000,2000,C,6-10,227,"January 10, 1977",Arizona
Adrian Branch,/players/b/brancad01.html,1987,1990,F-G,6-7,185,"November 17, 1963",Maryland
Elton Brand,/players/b/brandel01.html,2000,2016,F-C,6-8,275,"March 11, 1979",Duke
Terrell Brandon,/players/b/brandte01.html,1992,2002,G,5-11,180,"May 20, 1970",Oregon
Bob Brannum,/players/b/brannbo01.html,1950,1955,F-C,6-5,215,"May 28, 1926",Michigan State
Brad Branson,/players/b/bransbr01.html,1982,1983,C-F,6-10,220,"September 24, 1958",SMU
Jesse Branson,/players/b/bransje01.html,1966,1968,F,6-7,195,"January 7, 1942",Elon University
Jarrell Brantley,/players/b/brantja01.html,2020,2021,F,6-5,250,"June 7, 1996",College of Charleston
Jim Brasco,/players/b/brascji01.html,1953,1953,G,6-1,170,"February 3, 1931",NYU
Mike Bratz,/players/b/bratzmi01.html,1978,1986,G,6-2,185,"October 17, 1955",Stanford
Carl Braun,/players/b/braunca01.html,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate
Ignas Brazdeikis,/players/b/brazdig01.html,2020,2022,F,6-6,221,"January 8, 1999",Michigan
Tim Breaux,/players/b/breauti01.html,1995,1998,F,6-7,215,"September 19, 1970",Wyoming
J.R. Bremer,/players/b/bremejr01.html,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure
Pete Brennan,/players/b/brennpe01.html,1959,1959,F,6-6,205,"September 23, 1936",UNC
Tom Brennan,/players/b/brennto01.html,1955,1955,F,6-3,195,"August 6, 1930",Villanova
Randy Breuer,/players/b/breuera01.html,1984,1994,C,7-3,230,"October 11, 1960",Minnesota
